CLIENT_ID,CLIENT_CREATE DATE,REGION,TRADE SECTOR,N_EMPLOYEES,ECONOMIC_POT,ECO_POT_CLASS,RISK_CAT
"00000082",2005-11-15 00:00:00,"BO",22100,1,2264.230,"E","3d"
"00000438",2005-11-15 00:00:00,"BO",22100,1,2264.230,"E","3d"
"00000511",2005-11-15 00:00:00,"BO",22100,1,2264.230,"E","3d"
"00001862",2005-11-15 00:00:00,"BO",22100,1,2264.230,"E","3d"
"00001091",2005-11-15 00:00:00,"BA",11000,4,6038.040,"D","2a"
"00001908",2005-11-15 00:00:00,"BO",22100,1,2264.230,"E","3d"
"00002025",2005-11-15 00:00:00,"BO",22100,1,2264.230,"E","3d"
"00002372",2005-11-15 00:00:00,"BO",22100,1,2264.230,"E","3d"
"00003001",2005-11-15 00:00:00,"BO",22100,1,2264.230,"E","3d"
"00006296",2005-11-15 00:00:00,"MI",36000,434,2434.000,"E","3a"
"00012048",2005-11-15 00:00:00,"LT",15100,3,4571.880,"E","2a"
"00001683",2005-11-15 00:00:00,"AR",11000,2,9000.000,"D","3a"
"00005012",2005-11-15 00:00:00,"BA",11000,3,4528.530,"E","5d"
"00003068",2005-11-15 00:00:00,"MI",36000,70,2070.000,"E","4d"
"00004973",2005-11-15 00:00:00,"MC",11000,3,4528.530,"E","3a"
"00012099",2005-11-15 00:00:00,"BL",21100,4,11297.080,"D","2a"
"00007285",2005-11-15 00:00:00,"BL",21100,3,8472.810,"D","2a"
"00000208",2005-11-15 00:00:00,"FE",22100,2,4528.460,"E","3a"
"00002611",2005-11-15 00:00:00,"MI",36000,38,2038.000,"E","1d"
"00000446",2005-11-15 00:00:00,"FE",22100,2,4528.460,"E","3d"
"00003105",2005-11-15 00:00:00,"BL",21100,3,7000.000,"D","2a"
"00001775",2005-11-15 00:00:00,"FE",22100,2,4528.460,"E","3d"
"00002152",2005-11-15 00:00:00,"MC",11000,3,4528.530,"E","3a"
"00005926",2005-11-15 00:00:00,"FE",22100,2,4528.460,"E","3d"
"00001627",2005-11-15 00:00:00,"BG",11000,1,1509.510,"E","3a"
"00005399",2005-11-15 00:00:00,"BZ",11000,5,7547.540,"D","T8"
"00007462",2005-11-15 00:00:00,"BZ",11000,5,7547.540,"D","5d"
"00003273",2005-11-15 00:00:00,"BO",22100,1,2264.230,"E","3d"
"00013873",2005-11-15 00:00:00,"BZ",11000,5,7547.540,"D","3d"
"00013323",2005-11-15 00:00:00,"BZ",11000,5,7547.540,"D","3d"
"00013059",2005-11-15 00:00:00,"BL",21100,2,5648.540,"E","3b"
"00008905",2005-11-15 00:00:00,"LE",21100,1,2824.270,"E","5d"
"00000398",2005-11-15 00:00:00,"CN",14400,1,453.930,"E","3a"
"00009455",2005-11-15 00:00:00,"LE",21100,1,2824.270,"E","T8"
"00004488",2005-11-15 00:00:00,"BO",22100,1,2264.230,"E","3d"
"00007603",2005-11-15 00:00:00,"BO",22100,1,2264.230,"E","3d"
"00009949",2005-11-15 00:00:00,"BO",22100,1,2264.230,"E","3d"
"00004149",2005-11-15 00:00:00,"FE",22100,2,7000.000,"D","2a"
"00013664",2005-11-15 00:00:00,"BO",22100,1,2264.230,"E","3d"
"00000921",2005-11-15 00:00:00,"BO",22100,1,2264.230,"E","4d"
"00006998",2005-11-15 00:00:00,"BO",22100,1,2264.230,"E","5d"
"00010356",2005-11-15 00:00:00,"BO",22100,1,2264.230,"E","5d"
"00011982",2005-11-15 00:00:00,"BO",22100,1,2264.230,"E","5d"
"00014091",2005-11-15 00:00:00,"BO",22100,1,2264.230,"E","5d"
"00001193",2005-11-15 00:00:00,"BO",22100,1,2264.230,"E","T8"
"00007055",2005-11-15 00:00:00,"AN",13500,3,5000.000,"E","3d"
"00006672",2005-11-15 00:00:00,"BO",22100,1,2264.230,"E","T8"
"00007164",2005-11-15 00:00:00,"BL",21100,2,5648.540,"E","3a"
"00013091",2005-11-15 00:00:00,"BO",22100,1,2264.230,"E","T8"
"00001071",2005-11-15 00:00:00,"AN",13500,3,6648.630,"D","3a"
"00003628",2005-11-15 00:00:00,"CN",14100,3,7000.000,"D","2a"
"00005078",2005-11-15 00:00:00,"AN",13500,3,6648.630,"D","3a"
"00007116",2005-11-15 00:00:00,"AN",13500,3,6648.630,"D","3a"
"00004929",2005-11-15 00:00:00,"MI",35200,11,5043.000,"E","3d"
"00001869",2005-11-15 00:00:00,"AN",13500,3,6648.630,"D","3d"
"00001465",2005-11-15 00:00:00,"LT",11000,2,3019.020,"E","3a"
"00002362",2005-11-15 00:00:00,"LT",11000,2,3019.020,"E","3d"
"00004589",2005-11-15 00:00:00,"LT",11000,2,3019.020,"E","3d"
"00006634",2005-11-15 00:00:00,"AR",11000,2,10000.000,"D","2a"
"00005381",2005-11-15 00:00:00,"BL",21100,2,5648.540,"E","2a"
"00003471",2005-11-15 00:00:00,"AR",11000,3,4528.530,"E","2a"
"00012939",2005-11-15 00:00:00,"FE",22100,4,9056.920,"D","2a"
"00005867",2005-11-15 00:00:00,"AR",11000,3,4528.530,"E","2a"
"00008377",2005-11-15 00:00:00,"AR",11000,3,4528.530,"E","2a"
"00007071",2005-11-15 00:00:00,"AR",11000,3,4528.530,"E","3a"
"00001884",2005-11-15 00:00:00,"MC",11000,2,3019.020,"E","3a"
"00010438",2005-11-15 00:00:00,"AN",13500,3,6648.630,"D","3d"
"00005861",2005-11-15 00:00:00,"FE",22100,4,9056.920,"D","3d"
"00006600",2005-11-15 00:00:00,"FE",22100,4,9056.920,"D","T8"
"00012077",2005-11-15 00:00:00,"AR",11000,3,4528.530,"E","3a"
"00006439",2005-11-15 00:00:00,"BS",42200,423,10956.000,"D","3a"
"00005854",2005-11-15 00:00:00,"AR",11000,3,4528.530,"E","3d"
"00009704",2005-11-15 00:00:00,"CN",13500,9,6000.000,"D","3a"
"00001536",2005-11-15 00:00:00,"AN",13500,4,5000.000,"E","3d"
"00008730",2005-11-15 00:00:00,"AN",13500,4,8864.840,"D","2a"
"00004875",2005-11-15 00:00:00,"FE",22110,2,1805.120,"E","3a"
"00002402",2005-11-15 00:00:00,"AN",13500,4,8864.840,"D","3a"
"00012748",2005-11-15 00:00:00,"AN",13500,4,8864.840,"D","3a"
"00000373",2005-11-15 00:00:00,"AN",13500,4,8864.840,"D","3d"
"00008376",2005-11-15 00:00:00,"CN",13500,8,10556.560,"D","3d"
"00003973",2005-11-15 00:00:00,"AT",11000,5,7547.540,"D","T8"
"00006516",2005-11-15 00:00:00,"LT",11000,2,3019.020,"E","5a"
"00004559",2005-11-15 00:00:00,"FE",22110,9,6043.020,"D","3d"
"00004955",2005-11-15 00:00:00,"BA",42200,9,3178.000,"E","5d"
"00006326",2005-11-15 00:00:00,"BL",21100,1,7000.000,"D","3d"
"00004949",2005-11-15 00:00:00,"AN",13500,5,9400.380,"D","3d"
"00008505",2005-11-15 00:00:00,"AV",11000,3,6000.000,"D","2a"
"00002639",2005-11-15 00:00:00,"BA",42200,1,682.000,"E","3d"
"00001361",2005-11-15 00:00:00,"BA",41120,150,5479.500,"E","5d"
"00004802",2005-11-15 00:00:00,"AT",11000,6,0.000,"E","4c"
"00000876",2005-11-15 00:00:00,"FE",24100,3,7000.000,"D","3d"
"00006621",2005-11-15 00:00:00,"BL",21100,1,7000.000,"D","3a"
"00012245",2005-11-15 00:00:00,"MI",34200,74,8328.000,"D","3a"
"00002248",2005-11-15 00:00:00,"AN",13600,3,6648.630,"D","5a"
"00006593",2005-11-15 00:00:00,"AT",11000,6,8659.810,"D","3d"
"00010765",2005-11-15 00:00:00,"AT",11000,6,8659.810,"D","3d"
"00007205",2005-11-15 00:00:00,"FE",32700,7,10000.000,"D","2a"
"00005374",2005-11-15 00:00:00,"BL",21100,1,2824.270,"E","4d"
"00012425",2005-11-15 00:00:00,"CN",13500,6,10785.700,"D","T8"
"00003420",2005-11-15 00:00:00,"BL",21100,1,2824.270,"E","3d"
"00007084",2005-11-15 00:00:00,"CN",13500,6,10785.700,"D","2a"
"00005814",2005-11-15 00:00:00,"BL",16100,1,7659.280,"D","3d"
"00001566",2005-11-15 00:00:00,"MI",34120,6,10000.000,"D","1a"
"00006741",2005-11-15 00:00:00,"BA",35120,3,2907.000,"E","T8"
"00009193",2005-11-15 00:00:00,"BL",15500,4,1362.520,"E","3d"
"00001864",2005-11-15 00:00:00,"FE",34110,5,6349.000,"D","3d"
"00013218",2005-11-15 00:00:00,"BL",15400,7,4344.090,"E","2a"
"00003171",2005-11-15 00:00:00,"BL",15400,5,3355.190,"E","3d"
"00011076",2005-11-15 00:00:00,"BZ",11000,5,7547.540,"D","3d"
"00009492",2005-11-15 00:00:00,"BL",15300,4,3007.520,"E","3a"
"00001994",2005-11-15 00:00:00,"FE",34110,12,10094.000,"D","5d"
"00012681",2005-11-15 00:00:00,"BA",11000,3,4528.530,"E","4d"
"00007090",2005-11-15 00:00:00,"AN",14400,4,1815.720,"E","3d"
"00008542",2005-11-15 00:00:00,"FE",34120,6,6884.000,"D","3d"
"00005101",2005-11-15 00:00:00,"AN",14400,5,5700.000,"E","2a"
"00010246",2005-11-15 00:00:00,"MI",34110,11,9559.000,"D","5d"
"00011325",2005-11-15 00:00:00,"AN",15100,1,1523.960,"E","2a"
"00004743",2005-11-15 00:00:00,"CN",13500,6,7000.000,"D","2a"
"00003042",2005-11-15 00:00:00,"BZ",15200,5,8437.290,"D","3d"
"00003083",2005-11-15 00:00:00,"MI",34110,9,8489.000,"D","2a"
"00005795",2005-11-15 00:00:00,"BZ",11000,5,7547.540,"D","3d"
"00006781",2005-11-15 00:00:00,"MI",34110,5,6349.000,"D","3d"
"00005429",2005-11-15 00:00:00,"FE",34300,36,6817.000,"D","T8"
"00013191",2005-11-15 00:00:00,"BZ",15200,1,1523.960,"E","T8"
"00009630",2005-11-15 00:00:00,"FE",35110,54,7808.000,"D","3a"
"00003649",2005-11-15 00:00:00,"BZ",15100,8,7000.000,"D","2a"
"00013393",2005-11-15 00:00:00,"CN",13500,5,9400.380,"D","2a"
"00009670",2005-11-15 00:00:00,"CN",13500,5,9400.380,"D","2a"
"00006306",2005-11-15 00:00:00,"MI",33800,90,9950.000,"D","3a"
"00002534",2005-11-15 00:00:00,"CN",13500,5,9400.380,"D","2a"
"00000888",2005-11-15 00:00:00,"CN",13500,5,9400.380,"D","2a"
"00000233",2005-11-15 00:00:00,"CN",13500,5,9400.380,"D","2a"
"00007132",2005-11-15 00:00:00,"BL",14400,4,1815.720,"E","3d"
"00002191",2005-11-15 00:00:00,"FE",35120,4,3876.000,"E","T8"
"00013186",2005-11-15 00:00:00,"BL",14400,2,907.860,"E","3d"
"00003211",2005-11-15 00:00:00,"CN",13500,5,5000.000,"E","3a"
"00012283",2005-11-15 00:00:00,"CN",13500,5,5000.000,"E","2a"
"00011536",2005-11-15 00:00:00,"BL",14400,2,907.860,"E","3a"
"00006710",2005-11-15 00:00:00,"BL",14200,4,7735.560,"D","3a"
"00008471",2005-11-15 00:00:00,"LE",21100,1,7000.000,"D","3a"
"00006268",2005-11-15 00:00:00,"MI",33800,45,8105.000,"D","T8"
"00003223",2005-11-15 00:00:00,"BL",13500,5,9400.380,"D","3d"
"00013770",2005-11-15 00:00:00,"BL",13500,5,5000.000,"E","5d"
"00000382",2005-11-15 00:00:00,"LE",21100,2,5648.540,"E","2a"
"00001516",2005-11-15 00:00:00,"LE",21100,2,5648.540,"E","2a"
"00009390",2005-11-15 00:00:00,"LT",15200,3,4571.880,"E","2a"
"00002292",2005-11-15 00:00:00,"MI",33800,22,7162.000,"D","1d"
"00011158",2005-11-15 00:00:00,"LT",15200,3,4571.880,"E","3d"
"00008973",2005-11-15 00:00:00,"BA",11000,3,4528.530,"E","3d"
"00000902",2005-11-15 00:00:00,"MC",11000,1,1509.510,"E","T8"
"00005882",2005-11-15 00:00:00,"MC",11000,1,1509.510,"E","4d"
"00008883",2005-11-15 00:00:00,"MC",11000,1,1509.510,"E","2a"
"00014056",2005-11-15 00:00:00,"AN",15100,1,1523.960,"E","2a"
"00009446",2005-11-15 00:00:00,"AN",15100,1,1523.960,"E","3a"
"00012752",2005-11-15 00:00:00,"AN",15100,1,1523.960,"E","3a"
"00009185",2005-11-15 00:00:00,"GE",11000,2,3019.020,"E","T8"
"00006065",2005-11-15 00:00:00,"MI",33800,12,4848.000,"E","3d"
"00006551",2005-11-15 00:00:00,"GE",11000,2,3019.020,"E","T8"
"00006482",2005-11-15 00:00:00,"GE",11000,2,3019.020,"E","T8"
"00002827",2005-11-15 00:00:00,"GE",11000,2,3019.020,"E","T8"
"00000380",2005-11-15 00:00:00,"GE",11000,2,3019.020,"E","T8"
"00010693",2005-11-15 00:00:00,"GE",11000,2,3019.020,"E","5d"
"00007225",2005-11-15 00:00:00,"MI",33800,9,4245.000,"E","5d"
"00010398",2005-11-15 00:00:00,"LE",21100,2,5648.540,"E","3a"
"00006327",2005-11-15 00:00:00,"LE",21100,2,5648.540,"E","3d"
"00013290",2005-11-15 00:00:00,"AN",15100,1,1523.960,"E","3d"
"00008697",2005-11-15 00:00:00,"LU",21100,4,11297.080,"D","T8"
"00007951",2005-11-15 00:00:00,"GE",11000,2,3019.020,"E","4d"
"00002570",2005-11-15 00:00:00,"GE",11000,2,3019.020,"E","4d"
"00007171",2005-11-15 00:00:00,"MI",33800,4,2436.000,"E","5d"
"00002283",2005-11-15 00:00:00,"GE",11000,2,3019.020,"E","4c"
"00013953",2005-11-15 00:00:00,"GE",11000,2,3019.020,"E","3d"
"00012353",2005-11-15 00:00:00,"GE",11000,2,3019.020,"E","3d"
"00010845",2005-11-15 00:00:00,"GE",11000,2,3019.020,"E","3d"
"00008482",2005-11-15 00:00:00,"GE",11000,2,3019.020,"E","3d"
"00007188",2005-11-15 00:00:00,"GE",11000,2,3019.020,"E","3d"
"00005063",2005-11-15 00:00:00,"GE",11000,2,3019.020,"E","3d"
"00006488",2005-11-15 00:00:00,"GE",11000,2,3019.020,"E","3a"
"00011505",2005-11-15 00:00:00,"GE",11000,2,3019.020,"E","2a"
"00010511",2005-11-15 00:00:00,"GE",11000,2,3019.020,"E","2a"
"00007740",2005-11-15 00:00:00,"GE",11000,2,3019.020,"E","2a"
"00007281",2005-11-15 00:00:00,"LE",21100,2,5648.540,"E","3d"
"00012671",2005-11-15 00:00:00,"LU",21100,4,11297.080,"D","3d"
"00005173",2005-11-15 00:00:00,"GE",11000,2,3019.020,"E","2a"
"00000237",2005-11-15 00:00:00,"GE",11000,2,3019.020,"E","2a"
"00011176",2005-11-15 00:00:00,"LE",21100,2,5648.540,"E","3d"
"00009059",2005-11-15 00:00:00,"FE",35120,109,9238.000,"D","3d"
"00013184",2005-11-15 00:00:00,"FE",39300,20,7577.220,"D","3a"
"00013102",2005-11-15 00:00:00,"LE",21100,2,5648.540,"E","3d"
"00013649",2005-11-15 00:00:00,"MI",33130,6,9279.000,"D","2a"
"00005103",2005-11-15 00:00:00,"LE",21100,2,5648.540,"E","5d"
"00011054",2005-11-15 00:00:00,"GE",11000,1,10000.000,"D","2a"
"00001737",2005-11-15 00:00:00,"BA",11000,3,4528.530,"E","3d"
"00001522",2005-11-15 00:00:00,"BA",11000,3,4528.530,"E","3d"
"00005242",2005-11-15 00:00:00,"CN",13500,4,8864.840,"D","3d"
"00008535",2005-11-15 00:00:00,"CN",13500,4,8864.840,"D","2a"
"00005315",2005-11-15 00:00:00,"CN",13500,4,8864.840,"D","2a"
"00005455",2005-11-15 00:00:00,"LE",21100,2,5648.540,"E","5d"
"00001280",2005-11-15 00:00:00,"CN",13500,4,8864.840,"D","2a"
"00000979",2005-11-15 00:00:00,"BA",11000,3,4528.530,"E","3d"
"00012547",2005-11-15 00:00:00,"MI",33110,14,5992.000,"E","3d"
"00012674",2005-11-15 00:00:00,"MI",33110,14,5992.000,"E","2a"
"00011258",2005-11-15 00:00:00,"MI",33110,12,5722.000,"E","3d"
"00005433",2005-11-15 00:00:00,"BZ",11000,5,7547.540,"D","3d"
"00011962",2005-11-15 00:00:00,"CN",13500,4,5000.000,"E","2a"
"00003913",2005-11-15 00:00:00,"AN",15100,2,3047.920,"E","3a"
"00010228",2005-11-15 00:00:00,"LE",21100,2,5648.540,"E","T8"
"00012725",2005-11-15 00:00:00,"AN",15100,2,3047.920,"E","3d"
"00010284",2005-11-15 00:00:00,"GE",11000,1,7000.000,"D","3a"
"00010293",2005-11-15 00:00:00,"GE",11000,1,7000.000,"D","2a"
"00009831",2005-11-15 00:00:00,"GE",11000,1,7000.000,"D","2a"
"00004803",2005-11-15 00:00:00,"CN",13500,3,6648.630,"D","T8"
"00011910",2005-11-15 00:00:00,"MI",33110,5,4777.000,"E","3a"
"00001718",2005-11-15 00:00:00,"AN",15100,2,3047.920,"E","5b"
"00003252",2005-11-15 00:00:00,"BL",13500,4,8864.840,"D","T8"
"00010429",2005-11-15 00:00:00,"AN",15100,2,3047.920,"E","T8"
"00006708",2005-11-15 00:00:00,"BL",13500,3,5000.000,"E","3d"
"00002532",2005-11-15 00:00:00,"CN",13500,3,5000.000,"E","3d"
"00008567",2005-11-15 00:00:00,"BL",13500,3,5000.000,"E","3a"
"00007147",2005-11-15 00:00:00,"BA",11000,3,4528.530,"E","3a"
"00003912",2005-11-15 00:00:00,"BO",22100,1,6100.000,"D","2a"
"00007379",2005-11-15 00:00:00,"CN",13500,2,7000.000,"D","T8"
"00006512",2005-11-15 00:00:00,"BO",22100,1,7000.000,"D","3d"
"00006907",2005-11-15 00:00:00,"CN",13500,2,7000.000,"D","2a"
"00013957",2005-11-15 00:00:00,"BL",13500,2,4432.420,"E","3a"
"00011783",2005-11-15 00:00:00,"BL",13500,2,4432.420,"E","2a"
"00006649",2005-11-15 00:00:00,"BL",13500,1,2216.210,"E","T8"
"00009659",2005-11-15 00:00:00,"AT",21100,2,5700.000,"E","2a"
"00010731",2005-11-15 00:00:00,"MI",32200,12,10000.000,"D","2a"
"00001121",2005-11-15 00:00:00,"FG",11000,1,1509.510,"E","1a"
"00000125",2005-11-15 00:00:00,"FG",11000,1,1509.510,"E","3a"
"00007409",2005-11-15 00:00:00,"BO",22100,1,10000.000,"D","2a"
"00013204",2005-11-15 00:00:00,"BZ",11000,5,7547.540,"D","3a"
"00009443",2005-11-15 00:00:00,"AN",15100,3,4571.880,"E","2a"
"00012405",2005-11-15 00:00:00,"BO",22100,2,4528.460,"E","2a"
"00007128",2005-11-15 00:00:00,"MI",32100,7,11674.000,"D","3d"
"00012139",2005-11-15 00:00:00,"BL",13500,1,2216.210,"E","4d"
"00007515",2005-11-15 00:00:00,"BL",13500,1,2216.210,"E","2a"
"00000840",2005-11-15 00:00:00,"MI",32100,3,4551.000,"E","3a"
"00007827",2005-11-15 00:00:00,"BO",22100,2,4528.460,"E","3a"
"00002370",2005-11-15 00:00:00,"BL",13310,1,1097.300,"E","3a"
"00006071",2005-11-15 00:00:00,"MB",42200,9,3178.000,"E","3d"
"00003452",2005-11-15 00:00:00,"MI",32100,1,1517.000,"E","T8"
"00001822",2005-11-15 00:00:00,"FG",11000,2,3019.020,"E","3a"
"00000655",2005-11-15 00:00:00,"BO",22100,2,4528.460,"E","3d"
"00008130",2005-11-15 00:00:00,"BO",22100,2,4528.460,"E","3d"
"00013888",2005-11-15 00:00:00,"BO",22100,2,4528.460,"E","3d"
"00010215",2005-11-15 00:00:00,"BO",22100,2,4528.460,"E","4c"
"00004723",2005-11-15 00:00:00,"FG",11000,2,3019.020,"E","T8"
"00003824",2005-11-15 00:00:00,"BO",22100,2,4528.460,"E","5d"
"00006688",2005-11-15 00:00:00,"AN",15100,3,4571.880,"E","T8"
"00009052",2005-11-15 00:00:00,"AN",15100,4,6095.840,"D","3a"
"00006711",2005-11-15 00:00:00,"BO",22100,2,4528.460,"E","5d"
"00002003",2005-11-15 00:00:00,"AN",15100,5,5000.000,"E","3d"
"00008344",2005-11-15 00:00:00,"LU",21100,3,8472.810,"D","3d"
"00001273",2005-11-15 00:00:00,"LU",21100,3,8472.810,"D","3a"
"00012597",2005-11-15 00:00:00,"AN",15400,2,988.900,"E","2a"
"00011699",2005-11-15 00:00:00,"AN",15400,2,988.900,"E","3a"
"00009304",2005-11-15 00:00:00,"AN",15400,2,988.900,"E","3d"
"00007736",2005-11-15 00:00:00,"BL",11000,7,9772.080,"D","3d"
"00012004",2005-11-15 00:00:00,"BL",11000,7,9772.080,"D","2a"
"00001260",2005-11-15 00:00:00,"CE",11000,6,8659.810,"D","T8"
"00000819",2005-11-15 00:00:00,"AN",15400,2,6000.000,"D","2a"
"00005434",2005-11-15 00:00:00,"AN",15400,5,3355.190,"E","2a"
"00012770",2005-11-15 00:00:00,"BL",11000,6,8659.810,"D","3a"
"00008472",2005-11-15 00:00:00,"BL",11000,5,7547.540,"D","3d"
"00001132",2005-11-15 00:00:00,"BL",11000,4,6038.040,"D","T8"
"00002453",2005-11-15 00:00:00,"AN",15400,5,3355.190,"E","T8"
"00008912",2005-11-15 00:00:00,"LU",21100,3,8472.810,"D","2a"
"00005040",2005-11-15 00:00:00,"BL",11000,4,6038.040,"D","3d"
"00003285",2005-11-15 00:00:00,"BL",11000,4,6038.040,"D","3d"
"00013238",2005-11-15 00:00:00,"BZ",15100,3,4571.880,"E","3d"
"00008363",2005-11-15 00:00:00,"BZ",15100,2,7000.000,"D","3d"
"00006962",2005-11-15 00:00:00,"AT",21100,2,5700.000,"E","T8"
"00013787",2005-11-15 00:00:00,"BZ",15100,2,7000.000,"D","3a"
"00012204",2005-11-15 00:00:00,"BL",11000,1,1509.510,"E","5d"
"00000880",2005-11-15 00:00:00,"BL",11000,1,1509.510,"E","3a"
"00010864",2005-11-15 00:00:00,"LE",21100,3,5000.000,"E","2a"
"00001523",2005-11-15 00:00:00,"FG",11000,3,4528.530,"E","3d"
"00012659",2005-11-15 00:00:00,"FG",11000,3,4528.530,"E","4a"
"00000610",2005-11-15 00:00:00,"LE",21100,3,5000.000,"E","3d"
"00007667",2005-11-15 00:00:00,"LE",21100,3,5000.000,"E","3d"
"00012502",2005-11-15 00:00:00,"LE",21100,3,5000.000,"E","3d"
"00012635",2005-11-15 00:00:00,"AN",15500,1,340.630,"E","3d"
"00005688",2005-11-15 00:00:00,"BZ",11000,5,7547.540,"D","3a"
"00009362",2005-11-15 00:00:00,"BL",11000,1,1509.510,"E","2a"
"00009084",2005-11-15 00:00:00,"LU",21100,3,5000.000,"E","2a"
"00004576",2005-11-15 00:00:00,"AR",11000,3,9000.000,"D","3a"
"00013848",2005-11-15 00:00:00,"MI",22110,4,3610.240,"E","3d"
"00008462",2005-11-15 00:00:00,"MI",22110,4,3610.240,"E","3d"
"00003478",2005-11-15 00:00:00,"MI",22110,4,3610.240,"E","3a"
"00013916",2005-11-15 00:00:00,"MI",22110,4,3610.240,"E","2a"
"00013235",2005-11-15 00:00:00,"AN",15700,6,6294.990,"D","3a"
"00012433",2005-11-15 00:00:00,"FG",11000,4,6038.040,"D","2a"
"00011149",2005-11-15 00:00:00,"FG",11000,4,6038.040,"D","3a"
"00011363",2005-11-15 00:00:00,"FG",11000,4,6038.040,"D","3a"
"00003050",2005-11-15 00:00:00,"FG",11000,4,6038.040,"D","4d"
"00012055",2005-11-15 00:00:00,"FG",11000,4,6038.040,"D","5d"
"00002552",2005-11-15 00:00:00,"FG",11000,4,6038.040,"D","T8"
"00006007",2005-11-15 00:00:00,"AN",15700,11,10337.640,"D","3d"
"00002892",2005-11-15 00:00:00,"CN",13500,2,4432.420,"E","T8"
"00004062",2005-11-15 00:00:00,"CN",13500,2,4432.420,"E","3d"
"00010327",2005-11-15 00:00:00,"BI",42200,357,10230.000,"D","3d"
"00004021",2005-11-15 00:00:00,"MI",22110,2,1805.120,"E","3d"
"00005771",2005-11-15 00:00:00,"BS",21100,2,5648.540,"E","2a"
"00003924",2005-11-15 00:00:00,"CN",13500,2,4432.420,"E","3d"
"00000490",2005-11-15 00:00:00,"CN",13500,2,4432.420,"E","3d"
"00014018",2005-11-15 00:00:00,"CN",13500,2,4432.420,"E","3a"
"00003432",2005-11-15 00:00:00,"CE",11000,8,10884.350,"D","1a"
"00007970",2005-11-15 00:00:00,"BI",34120,5,6349.000,"D","2a"
"00005638",2005-11-15 00:00:00,"BO",22100,2,7000.000,"D","3d"
"00013176",2005-11-15 00:00:00,"BO",22100,2,7000.000,"D","3d"
"00006047",2005-11-15 00:00:00,"BS",21100,2,5648.540,"E","3a"
"00006244",2005-11-15 00:00:00,"BS",21100,2,5648.540,"E","3a"
"00011442",2005-11-15 00:00:00,"CN",13500,2,4432.420,"E","3a"
"00003466",2005-11-15 00:00:00,"CN",13500,2,4432.420,"E","3a"
"00000837",2005-11-15 00:00:00,"FG",11000,5,7547.540,"D","3d"
"00000865",2005-11-15 00:00:00,"FG",11000,5,7547.540,"D","3d"
"00006527",2005-11-15 00:00:00,"BS",21100,2,5648.540,"E","3a"
"00008393",2005-11-15 00:00:00,"MI",22100,5,5000.000,"E","3d"
"00007073",2005-11-15 00:00:00,"BI",33130,9,11133.000,"D","2a"
"00009334",2005-11-15 00:00:00,"FG",11000,5,7547.540,"D","3d"
"00003828",2005-11-15 00:00:00,"BO",22100,3,5000.000,"E","3d"
"00000112",2005-11-15 00:00:00,"AN",21100,1,2824.270,"E","2a"
"00011901",2005-11-15 00:00:00,"FG",11000,5,7547.540,"D","3d"
"00013196",2005-11-15 00:00:00,"FG",11000,5,7547.540,"D","3d"
"00013297",2005-11-15 00:00:00,"BO",22100,3,6792.690,"D","3a"
"00013651",2005-11-15 00:00:00,"BO",22100,3,6792.690,"D","3d"
"00011150",2005-11-15 00:00:00,"AN",21100,1,2824.270,"E","2a"
"00012840",2005-11-15 00:00:00,"AN",21100,1,2824.270,"E","3a"
